City/Town,# Total households,% Households w/ cohabiting couples,% Households w/ 1+ people aged >=65,AVG Household size,AVG Family size,# Total population >=25,% Educated <9th grade,% Educated 9th-12th w/o diploma,% Educated w/ highschool diploma or equivalent,% Educated w/ some college,% Educated w/ associate's degree,% Educated w/ bachelor's degree,% Educated w/ grad/professional degree,% Educated w/ diploma or higher,% Educated w/ bachelors or higher,# Total civilian population,% Population w/ disablilty,% Population <18 w/ disability,% Population 18-64 w/ disability,% Population >65 w/ disability,# Population foreign-born,% Foreign-born not citizen,% Foreign-born entered >=2010,% Foreign-born entered <2010,# Total population >=5,% Population speaks english poorly,% Households w/ a computer,% Households w/ internet,# Total civilian labor force,% Workers worked from home,% Workers unpaid familly,% Population no health insurance,% Population in poverty,# Total occupied housing units,% Households no vehicle,% Households incomplete plumbing,% Households incomplete kitchen,% Households no telephone,% Households w/ 1.51 or more occupants/room,% Population <18,% Population >=18,% Population >=21,% Population >=65,% Population white,County subdivision,% Population minority,Latitude,Longitude,County,# Total population,# Total cases,# Total cases last 2 weeks,Avg # of cases last 2 weeks (per 100k),# Total tests,# Total tests last 2 weeks,# Total positive tests,% Positive tests last 2 weeks,% Infection rate,% Positive tests,% Infection rate last 2 weeks,% Testing rate last 2 weeks,% Testing rate,# Total positive tests last 2 weeks,% Population one or more doses,% Population fully vaccinated,% Vaccinated 65+ fully vaccinated,% Vaccinated 65+ one or more doses,% Vaccinated <65 fully vaccinated,% Vaccinated <65 one or more doses,% Vaccinated minority fully vaccinated,% Vaccinated minority one or more doses,% Vaccinated white fully vaccinated,% Vaccinated white one or more doses
West Stockbridge,461,12.4,43.6,2.34,2.71,850,0.7,2.9,22.6,9.6,6.1,30.1,27.9,96.4,58.0,1084,10.1,0.0,5.7,26.3,70,38.6,4.3,95.7,1017,1.9,97.6,91.1,697,11.6,0.0,0.0,7.0,461,2.4,0.0,0.0,0.4,0.0,16.7,83.3,80.5,26.3,89.0,77990,11.0,42.3338097,-73.36775820000003,Berkshire,1175,40,0,0.0,2560,104.0,0.0,0.0,3.404255319148936,0.0,0.0,8.851063829787234,217.87234042553192,0.0,70.56313993174061,51.4505119453925,73.74701670644392,83.53221957040573,39.04382470119522,63.34661354581673,0.0,0.0,52.333931777378815,68.49192100538599
West Tisbury,1068,6.4,44.1,2.23,2.47,2003,0.0,2.0,16.8,22.3,4.5,28.5,25.9,98.0,54.3,2418,10.8,0.0,0.0,33.5,200,29.5,0.0,100.0,2366,0.0,95.6,78.4,1267,16.8,0.0,2.0,6.0,1068,0.0,2.8,0.0,0.0,0.0,13.2,86.8,83.9,32.4,94.7,78235,5.299999999999997,41.3812245,-70.6744723,Dukes,2871,136,9,22.389136597890975,5754,155.0,10.0,0.06451612903225806,4.7370254266805984,0.001737921445950643,0.3134796238244514,5.39881574364333,200.41797283176592,10.0,51.028232833739985,35.134193098640644,61.69154228855721,64.55223880597015,24.79418886198547,45.76271186440678,0.0,0.0,35.28098250837365,49.237067361369554
Westborough,7069,4.2,22.9,2.62,3.16,13316,1.7,2.1,15.3,9.1,5.1,34.6,32.1,96.3,66.7,18716,7.9,3.2,4.6,33.0,5076,61.8,39.2,60.8,17763,8.7,95.2,92.5,10186,7.8,0.1,1.5,4.6,7069,5.8,0.5,2.2,0.7,1.5,25.7,74.3,72.6,13.7,69.9,75015,30.099999999999994,42.2695216,-71.6161294,Worcester,18711,1567,42,16.033240993185974,51225,2493.0,49.0,0.01965503409546731,8.374752819197264,0.000956564177647633,0.22446689113355783,13.323713323713324,273.7694404361071,49.0,71.10327132777421,42.92815907633098,80.4313352362829,95.81351094196003,35.326261652201865,66.09450337512054,23.697011813759556,53.28700486448923,49.87030952792668,73.2318865640671
Westfield,15271,8.0,33.9,2.49,3.07,27397,4.1,6.4,29.7,18.0,9.7,20.6,11.6,89.5,32.2,40994,14.8,4.3,11.1,40.3,3793,37.4,27.1,72.9,39702,7.5,90.9,85.2,21688,4.2,0.2,2.6,7.2,15271,7.0,0.0,0.7,1.2,0.0,18.0,82.0,73.3,17.3,92.3,76030,7.700000000000003,42.1250929,-72.749538,Hampden,41355,3084,77,13.299460579286725,77376,3781.0,88.0,0.023274266067177994,7.457381211461733,0.0011373035566583955,0.18619272155724823,9.142788054648774,187.10192237939788,88.0,41.0151995833136,28.157109711634078,63.311345646438,77.8891820580475,20.46857868313232,32.950545328639855,14.80714058017214,25.773031558814154,26.20474441468062,37.610118472287425
Westford,8571,2.7,25.6,2.84,3.22,16259,1.5,0.9,12.8,10.9,6.5,33.9,33.5,97.6,67.4,24342,7.5,2.5,5.4,27.0,3748,32.0,15.2,84.8,23202,2.9,95.6,93.8,13378,7.6,0.2,0.6,2.1,8571,2.0,0.4,0.4,1.1,0.1,26.3,73.7,71.1,13.0,77.5,76135,22.5,42.5792583,-71.4378411,Middlesex,23089,1317,33,10.208847477589515,41642,1862.0,37.0,0.01987110633727175,5.704014898869591,0.0008885260073963787,0.14292520247737017,8.064446273117069,180.35428125947422,37.0,67.03053931124107,44.9166125189517,85.25345622119815,93.28917050691244,37.77596492122572,62.38209350940702,36.51607812191754,70.28999802722431,45.08283594578011,62.57600267752552
Westhampton,719,8.5,29.5,2.58,2.84,1395,0.2,2.7,29.0,16.1,10.8,20.6,20.6,97.1,41.2,1855,10.0,3.4,6.4,29.2,31,48.4,22.6,77.4,1787,0.4,94.4,87.8,1120,8.4,0.5,4.8,3.4,719,2.6,0.0,0.0,0.0,0.0,17.4,82.6,80.2,18.2,99.0,76380,1.0,42.3028667,-72.7745382,Hampshire,1711,69,4,8.348295378481012,1747,66.0,2.0,0.030303030303030304,4.032729398012858,0.0011448196908986834,0.23378141437755698,3.85739333722969,102.10403272939801,2.0,,,,,,,,,,
Westminster,2870,2.9,34.2,2.71,3.14,5620,1.4,3.0,26.5,18.6,10.1,26.4,14.0,95.7,40.4,7766,7.9,1.7,7.0,18.5,251,23.1,0.0,100.0,7443,0.1,94.0,87.8,4187,4.5,0.0,1.0,2.6,2870,1.5,0.0,0.0,1.5,0.0,21.3,78.7,75.7,17.5,99.5,77010,0.5,42.5459227,-71.91063079999998,Worcester,7315,542,10,9.76380633816123,13702,570.0,13.0,0.02280701754385965,7.409432672590567,0.0009487666034155598,0.1367053998632946,7.792207792207792,187.31373889268625,13.0,58.12935867632982,41.82961848762478,90.9377462568952,100.0,31.518861681005955,48.891462607544675,13.302752293577983,47.935779816513765,40.95573145705072,56.02462620932278
Weston,3787,0.2,39.4,2.98,3.3,7755,0.3,0.7,9.7,4.8,1.7,33.2,49.6,99.0,82.8,12002,6.4,1.1,3.6,20.3,2129,35.9,23.2,76.8,11470,3.4,94.3,92.4,5069,13.0,0.0,0.7,7.6,3787,3.7,0.2,0.2,0.5,0.5,25.5,74.5,68.1,21.0,78.8,77255,21.200000000000003,42.3667625,-71.3031132,Middlesex,10981,539,9,5.85388199640959,50110,2638.0,11.0,0.004169825625473844,4.908478280666606,0.00021951706246258233,0.08195974865677078,24.02331299517348,456.3336672434205,11.0,65.37025229984515,45.523271700519174,76.16060225846925,84.19071518193223,36.99347927340475,60.13041453190498,43.815413891531875,69.60038058991437,43.6280661722761,60.76440387906447
Westport,6525,6.3,43.1,2.44,2.84,12059,5.6,5.4,25.7,17.2,9.4,19.6,17.1,89.0,36.6,15925,15.0,3.1,8.6,37.7,1377,9.3,2.7,97.3,15362,2.1,91.5,84.6,8464,4.5,0.0,2.1,5.8,6525,4.5,0.6,0.6,1.3,0.2,17.3,82.7,79.2,25.4,98.2,77570,1.7999999999999972,41.5700183,-71.0735476,Bristol,16752,1589,45,19.1872145702904,29029,1185.0,51.0,0.043037974683544304,9.485434574976122,0.001756863825829343,0.26862464183381085,7.07378223495702,173.2867717287488,51.0,54.38208955223881,42.943283582089556,77.11606096131301,84.7831184056272,31.26952342811374,43.99679615538646,50.97560975609756,70.97560975609755,38.42896594047254,48.30316047867444
Westwood,5532,2.0,36.8,2.91,3.45,10808,0.4,2.2,10.1,8.4,7.5,38.1,33.3,97.4,71.5,16112,8.9,2.3,4.1,32.7,2286,29.6,22.4,77.6,15412,4.8,94.8,92.9,8369,9.0,0.1,1.6,2.3,5532,4.3,0.2,0.2,1.1,0.4,25.5,74.5,71.7,18.5,86.3,78690,13.700000000000003,42.2139873,-71.22449870000001,Norfolk,14695,1072,27,13.12383405631339,38861,1988.0,34.0,0.01710261569416499,7.294998298741068,0.0008749131520032938,0.18373596461381422,13.528411024157878,264.45049336509015,34.0,70.62546790988907,50.00340298101137,78.86334610472542,88.15453384418902,42.18493209929937,65.87665426866188,74.83164983164983,100.0,45.234369178031145,62.17303822937625
